location,vaccine,total_vaccinations
Japan,Moderna,1120331
Japan,Pfizer/BioNTech,45612807
Japan,Moderna,1202251
Japan,Pfizer/BioNTech,46917782
Japan,Moderna,1285594
Japan,Pfizer/BioNTech,48255821
Japan,Moderna,1374054
Japan,Pfizer/BioNTech,49592814
Japan,Moderna,1461590
Japan,Pfizer/BioNTech,50701677
Japan,Moderna,1551670
Japan,Pfizer/BioNTech,51747435
Japan,Moderna,1652274
Japan,Pfizer/BioNTech,52983088
Japan,Moderna,1738278
Japan,Pfizer/BioNTech,54165967
Japan,Moderna,1852346
Japan,Pfizer/BioNTech,55494393
Japan,Moderna,1961607
Japan,Pfizer/BioNTech,56857150
Japan,Moderna,2071567
Japan,Pfizer/BioNTech,58210908
Japan,Moderna,2189462
Japan,Pfizer/BioNTech,59542374
Japan,Moderna,2311522
Japan,Pfizer/BioNTech,60858993
Japan,Moderna,2444569
Japan,Pfizer/BioNTech,62180920
Japan,Moderna,2562935
Japan,Pfizer/BioNTech,63327983
Japan,Moderna,2694487
Japan,Pfizer/BioNTech,64563060
Japan,Moderna,2825239
Japan,Pfizer/BioNTech,65794922
Japan,Moderna,2949342
Japan,Pfizer/BioNTech,67026586
Japan,Moderna,3071646
Japan,Pfizer/BioNTech,68220083
Japan,Moderna,3197502
Japan,Pfizer/BioNTech,69415761
Japan,Moderna,3323965
Japan,Pfizer/BioNTech,70617414
Japan,Moderna,3442470
Japan,Pfizer/BioNTech,71691340
Japan,Moderna,3594456
Japan,Pfizer/BioNTech,72565446
Japan,Moderna,3742299
Japan,Pfizer/BioNTech,73694601
Japan,Moderna,3898766
Japan,Pfizer/BioNTech,74787316
Japan,Moderna,4006790
Japan,Pfizer/BioNTech,75223041
Japan,Moderna,4112667
Japan,Pfizer/BioNTech,75524890
Japan,Moderna,4257016
Japan,Pfizer/BioNTech,76492896
Japan,Moderna,4395332
Japan,Pfizer/BioNTech,77390382
Japan,Moderna,4549315
Japan,Pfizer/BioNTech,78438509
Japan,Moderna,4702489
Japan,Pfizer/BioNTech,79516259
Japan,Moderna,4844563
Japan,Pfizer/BioNTech,80604819
Japan,Moderna,4984585
Japan,Pfizer/BioNTech,81656734
Japan,Moderna,5130661
Japan,Pfizer/BioNTech,82700623
Japan,Moderna,5276633
Japan,Pfizer/BioNTech,83804919
Japan,Moderna,5396425
Japan,Pfizer/BioNTech,84627215
Japan,Moderna,5506545
Japan,Pfizer/BioNTech,85373829
Japan,Moderna,5605114
Japan,Pfizer/BioNTech,86092639
Japan,Moderna,5687427
Japan,Pfizer/BioNTech,86647668
Latvia,Moderna,2
Latvia,Pfizer/BioNTech,1
Latvia,Pfizer/BioNTech,2
Latvia,Pfizer/BioNTech,3
Latvia,Pfizer/BioNTech,6
Latvia,Moderna,5
Latvia,Pfizer/BioNTech,7
Latvia,Pfizer/BioNTech,10
Latvia,Pfizer/BioNTech,14
Latvia,Pfizer/BioNTech,17
Latvia,Pfizer/BioNTech,19
Latvia,Pfizer/BioNTech,20
Latvia,Pfizer/BioNTech,25
Latvia,Pfizer/BioNTech,629
Latvia,Moderna,6
Latvia,Pfizer/BioNTech,1507
Latvia,Pfizer/BioNTech,2308
Latvia,Moderna,7
Latvia,Pfizer/BioNTech,2314
Latvia,Pfizer/BioNTech,2322
Latvia,Pfizer/BioNTech,2324
Latvia,Pfizer/BioNTech,2328
Latvia,Moderna,9
Latvia,Pfizer/BioNTech,3032
Latvia,Pfizer/BioNTech,3927
Latvia,Moderna,10
Latvia,Pfizer/BioNTech,4709
Latvia,Pfizer/BioNTech,5522
Latvia,Pfizer/BioNTech,6439
Latvia,Oxford/AstraZeneca,4
Latvia,Pfizer/BioNTech,6746
Latvia,Pfizer/BioNTech,7083
Latvia,Moderna,15
Latvia,Pfizer/BioNTech,8452
Latvia,Moderna,17
Latvia,Oxford/AstraZeneca,5
Latvia,Pfizer/BioNTech,10086
Latvia,Johnson&Johnson,1
Latvia,Moderna,150
Latvia,Pfizer/BioNTech,11475
Latvia,Moderna,579
Latvia,Oxford/AstraZeneca,7
Latvia,Pfizer/BioNTech,12885
Latvia,Moderna,943
Latvia,Pfizer/BioNTech,14400
Latvia,Moderna,974
Latvia,Pfizer/BioNTech,15042
Latvia,Oxford/AstraZeneca,9
Latvia,Pfizer/BioNTech,15166
Latvia,Moderna,1118
Latvia,Pfizer/BioNTech,15878
Latvia,Moderna,1180
Latvia,Oxford/AstraZeneca,11
Latvia,Pfizer/BioNTech,16700
Latvia,Moderna,1191
Latvia,Pfizer/BioNTech,17477
Latvia,Moderna,1193
Latvia,Pfizer/BioNTech,17768
Latvia,Moderna,1214
Latvia,Pfizer/BioNTech,17978
Latvia,Oxford/AstraZeneca,14
Latvia,Pfizer/BioNTech,18108
Latvia,Pfizer/BioNTech,18113
Latvia,Moderna,1215
Latvia,Oxford/AstraZeneca,15
Latvia,Pfizer/BioNTech,18790
Latvia,Moderna,1228
Latvia,Pfizer/BioNTech,19643
Latvia,Moderna,1235
Latvia,Oxford/AstraZeneca,16
Latvia,Pfizer/BioNTech,20471
Latvia,Johnson&Johnson,2
Latvia,Moderna,1236
Latvia,Oxford/AstraZeneca,17
Latvia,Pfizer/BioNTech,21259
Latvia,Moderna,1248
Latvia,Oxford/AstraZeneca,18
Latvia,Pfizer/BioNTech,22216
Latvia,Moderna,1249
Latvia,Oxford/AstraZeneca,22
Latvia,Pfizer/BioNTech,22530
Latvia,Moderna,1250
Latvia,Oxford/AstraZeneca,24
Latvia,Pfizer/BioNTech,22876
Latvia,Moderna,1252
Latvia,Oxford/AstraZeneca,26
Latvia,Pfizer/BioNTech,24069
Latvia,Moderna,1375
Latvia,Oxford/AstraZeneca,28
Latvia,Pfizer/BioNTech,25773
Latvia,Moderna,1598
Latvia,Pfizer/BioNTech,27185
Latvia,Moderna,1709
Latvia,Pfizer/BioNTech,28588
Latvia,Moderna,1799
Latvia,Oxford/AstraZeneca,31
Latvia,Pfizer/BioNTech,30169
Latvia,Oxford/AstraZeneca,33
Latvia,Pfizer/BioNTech,30739
Latvia,Oxford/AstraZeneca,34
Latvia,Pfizer/BioNTech,30867
Latvia,Moderna,1844
Latvia,Oxford/AstraZeneca,37
Latvia,Pfizer/BioNTech,31240
Latvia,Moderna,1867
Latvia,Oxford/AstraZeneca,59
Latvia,Pfizer/BioNTech,31387
Latvia,Moderna,2000
Latvia,Oxford/AstraZeneca,476
Latvia,Pfizer/BioNTech,31489
Latvia,Moderna,2392
Latvia,Oxford/AstraZeneca,1572
Latvia,Pfizer/BioNTech,31805
Latvia,Moderna,2740
Latvia,Oxford/AstraZeneca,2745
Latvia,Pfizer/BioNTech,32038
Latvia,Moderna,2790
Latvia,Oxford/AstraZeneca,2970
Latvia,Pfizer/BioNTech,32167
Latvia,Johnson&Johnson,3
Latvia,Moderna,2810
Latvia,Oxford/AstraZeneca,2973
Latvia,Pfizer/BioNTech,32173
Latvia,Moderna,2964
Latvia,Oxford/AstraZeneca,3670
Latvia,Pfizer/BioNTech,32204
Latvia,Moderna,3184
Latvia,Oxford/AstraZeneca,4827
Latvia,Pfizer/BioNTech,32230
Latvia,Moderna,3314
Latvia,Oxford/AstraZeneca,6549
Latvia,Pfizer/BioNTech,32396
Latvia,Moderna,3553
Latvia,Oxford/AstraZeneca,7807
Latvia,Pfizer/BioNTech,32461
Latvia,Moderna,3763
Latvia,Oxford/AstraZeneca,8922
Latvia,Pfizer/BioNTech,32521
Latvia,Moderna,3783
Latvia,Oxford/AstraZeneca,9652
Latvia,Pfizer/BioNTech,32526
Latvia,Moderna,3785
Latvia,Oxford/AstraZeneca,10462
Latvia,Pfizer/BioNTech,32531
Latvia,Moderna,4030
Latvia,Oxford/AstraZeneca,11972
Latvia,Pfizer/BioNTech,32570
Latvia,Moderna,4253
Latvia,Oxford/AstraZeneca,14123
Latvia,Pfizer/BioNTech,32605
Latvia,Moderna,4407
Latvia,Oxford/AstraZeneca,18264
Latvia,Pfizer/BioNTech,32651
Latvia,Moderna,4670
Latvia,Oxford/AstraZeneca,22112
Latvia,Pfizer/BioNTech,32754
Latvia,Moderna,4882
Latvia,Oxford/AstraZeneca,25163
Latvia,Pfizer/BioNTech,32896
Latvia,Moderna,5204
Latvia,Oxford/AstraZeneca,25427
Latvia,Pfizer/BioNTech,32905
Latvia,Moderna,5206
Latvia,Oxford/AstraZeneca,25558
Latvia,Pfizer/BioNTech,32909
Latvia,Moderna,5590
Latvia,Oxford/AstraZeneca,27132
Latvia,Pfizer/BioNTech,33155
Latvia,Moderna,6318
Latvia,Oxford/AstraZeneca,28852
Latvia,Pfizer/BioNTech,33486
Latvia,Moderna,7073
Latvia,Oxford/AstraZeneca,32787
Latvia,Pfizer/BioNTech,34145
Latvia,Moderna,7601
Latvia,Oxford/AstraZeneca,39630
Latvia,Pfizer/BioNTech,34679
Latvia,Johnson&Johnson,4
Latvia,Moderna,8079
Latvia,Oxford/AstraZeneca,45563
Latvia,Pfizer/BioNTech,35031
Latvia,Moderna,8165
Latvia,Oxford/AstraZeneca,46559
Latvia,Pfizer/BioNTech,35035
Latvia,Johnson&Johnson,5
Latvia,Oxford/AstraZeneca,46641
Latvia,Pfizer/BioNTech,35045
Latvia,Johnson&Johnson,6
Latvia,Moderna,8431
Latvia,Oxford/AstraZeneca,48697
Latvia,Pfizer/BioNTech,35055
Latvia,Moderna,8790
Latvia,Oxford/AstraZeneca,51175
Latvia,Pfizer/BioNTech,35303
Latvia,Moderna,9073
Latvia,Oxford/AstraZeneca,53650
Latvia,Pfizer/BioNTech,35877
Latvia,Moderna,9239
Latvia,Oxford/AstraZeneca,56967
Latvia,Pfizer/BioNTech,36027
Latvia,Moderna,9373
Latvia,Oxford/AstraZeneca,63901
Latvia,Pfizer/BioNTech,36076
Latvia,Moderna,9443
Latvia,Oxford/AstraZeneca,65108
Latvia,Pfizer/BioNTech,36080
Latvia,Johnson&Johnson,7
Latvia,Moderna,9444
Latvia,Oxford/AstraZeneca,65182
Latvia,Pfizer/BioNTech,36082
Latvia,Moderna,9548
Latvia,Oxford/AstraZeneca,70398
Latvia,Pfizer/BioNTech,36090
Latvia,Johnson&Johnson,9
Latvia,Moderna,9713
Latvia,Oxford/AstraZeneca,70423
Latvia,Pfizer/BioNTech,36110
Latvia,Moderna,9876
Latvia,Oxford/AstraZeneca,70438
Latvia,Pfizer/BioNTech,36126
Latvia,Johnson&Johnson,10
Latvia,Moderna,10100
Latvia,Oxford/AstraZeneca,70450
Latvia,Pfizer/BioNTech,36189
Latvia,Moderna,10442
Latvia,Oxford/AstraZeneca,70959
Latvia,Pfizer/BioNTech,36292
Latvia,Moderna,10492
Latvia,Oxford/AstraZeneca,71329
Latvia,Pfizer/BioNTech,36296
Latvia,Moderna,10496
Latvia,Oxford/AstraZeneca,71359
Latvia,Pfizer/BioNTech,36303
Latvia,Johnson&Johnson,12
Latvia,Moderna,11159
Latvia,Oxford/AstraZeneca,74235
Latvia,Pfizer/BioNTech,36314
Latvia,Johnson&Johnson,13
Latvia,Moderna,12413
Latvia,Oxford/AstraZeneca,80035
Latvia,Pfizer/BioNTech,36518
Latvia,Moderna,13911
Latvia,Oxford/AstraZeneca,86103
Latvia,Pfizer/BioNTech,37066
Latvia,Moderna,15517
Latvia,Oxford/AstraZeneca,90814
Latvia,Pfizer/BioNTech,37555
Latvia,Moderna,17184
Latvia,Oxford/AstraZeneca,93556
Latvia,Pfizer/BioNTech,38012
Latvia,Moderna,17590
Latvia,Oxford/AstraZeneca,93739
Latvia,Pfizer/BioNTech,38018
Latvia,Oxford/AstraZeneca,93772
Latvia,Pfizer/BioNTech,38025
Latvia,Moderna,18619
Latvia,Oxford/AstraZeneca,95356
Latvia,Pfizer/BioNTech,38036
Latvia,Johnson&Johnson,15
Latvia,Moderna,19929
Latvia,Oxford/AstraZeneca,99120
Latvia,Pfizer/BioNTech,39027
Latvia,Moderna,21273
Latvia,Oxford/AstraZeneca,102904
Latvia,Pfizer/BioNTech,40744
Latvia,Johnson&Johnson,16
Latvia,Moderna,22782
Latvia,Oxford/AstraZeneca,105558
Latvia,Pfizer/BioNTech,41392
Latvia,Johnson&Johnson,17
Latvia,Moderna,23030
Latvia,Oxford/AstraZeneca,105887
Latvia,Pfizer/BioNTech,41407
Latvia,Johnson&Johnson,19
Latvia,Moderna,23191
Latvia,Oxford/AstraZeneca,109211
Latvia,Pfizer/BioNTech,41556
Latvia,Moderna,23199
Latvia,Oxford/AstraZeneca,110831
Latvia,Pfizer/BioNTech,41562
Latvia,Johnson&Johnson,20
Latvia,Moderna,23339
Latvia,Oxford/AstraZeneca,113564
Latvia,Pfizer/BioNTech,41573
Latvia,Johnson&Johnson,21
Latvia,Moderna,25072
Latvia,Oxford/AstraZeneca,117762
Latvia,Pfizer/BioNTech,41642
Latvia,Johnson&Johnson,30
Latvia,Moderna,27466
Latvia,Oxford/AstraZeneca,125625
Latvia,Pfizer/BioNTech,41781
Latvia,Johnson&Johnson,35
Latvia,Moderna,29478
Latvia,Oxford/AstraZeneca,130854
Latvia,Pfizer/BioNTech,42239
Latvia,Johnson&Johnson,41
Latvia,Moderna,30895
Latvia,Oxford/AstraZeneca,134770
Latvia,Pfizer/BioNTech,42555
Latvia,Moderna,31048
Latvia,Oxford/AstraZeneca,136523
Latvia,Pfizer/BioNTech,42616
Latvia,Johnson&Johnson,43
Latvia,Moderna,31050
Latvia,Oxford/AstraZeneca,136616
Latvia,Pfizer/BioNTech,42623
Latvia,Moderna,31615
Latvia,Oxford/AstraZeneca,138549
Latvia,Pfizer/BioNTech,43053
Latvia,Johnson&Johnson,44
Latvia,Moderna,32507
Latvia,Oxford/AstraZeneca,140722
Latvia,Pfizer/BioNTech,44299
Latvia,Moderna,34392
Latvia,Oxford/AstraZeneca,143201
Latvia,Pfizer/BioNTech,46719
Latvia,Moderna,36220
Latvia,Oxford/AstraZeneca,145372
Latvia,Pfizer/BioNTech,49010
Latvia,Moderna,37160
Latvia,Oxford/AstraZeneca,150473
Latvia,Pfizer/BioNTech,52422
Latvia,Moderna,37374
Latvia,Oxford/AstraZeneca,155931
Latvia,Pfizer/BioNTech,53242
Latvia,Moderna,37472
Latvia,Oxford/AstraZeneca,156324
Latvia,Pfizer/BioNTech,53684
Latvia,Moderna,38844
Latvia,Oxford/AstraZeneca,157206
Latvia,Pfizer/BioNTech,55452
Latvia,Moderna,42877
Latvia,Oxford/AstraZeneca,158182
Latvia,Pfizer/BioNTech,57874
Latvia,Moderna,48325
Latvia,Oxford/AstraZeneca,159768
Latvia,Pfizer/BioNTech,61306
Latvia,Moderna,54331
Latvia,Oxford/AstraZeneca,160616
Latvia,Pfizer/BioNTech,64355
Latvia,Moderna,58488
Latvia,Oxford/AstraZeneca,161800
Latvia,Pfizer/BioNTech,69860
Latvia,Moderna,58911
Latvia,Oxford/AstraZeneca,162456
Latvia,Pfizer/BioNTech,75004
Latvia,Moderna,59159
Latvia,Oxford/AstraZeneca,162550
Latvia,Pfizer/BioNTech,76068
Latvia,Moderna,61281
Latvia,Oxford/AstraZeneca,164113
Latvia,Pfizer/BioNTech,76989
Latvia,Johnson&Johnson,119
Latvia,Moderna,64659
Latvia,Oxford/AstraZeneca,166510
Latvia,Pfizer/BioNTech,78686
Latvia,Johnson&Johnson,231
Latvia,Moderna,68752
Latvia,Oxford/AstraZeneca,169319
Latvia,Pfizer/BioNTech,86442
Latvia,Johnson&Johnson,280
Latvia,Moderna,72966
Latvia,Oxford/AstraZeneca,172416
Latvia,Pfizer/BioNTech,93563
Latvia,Johnson&Johnson,362
Latvia,Moderna,75925
Latvia,Oxford/AstraZeneca,174586
Latvia,Pfizer/BioNTech,99925
Latvia,Johnson&Johnson,364
Latvia,Moderna,76167
Latvia,Oxford/AstraZeneca,174973
Latvia,Pfizer/BioNTech,106164
Latvia,Johnson&Johnson,375
Latvia,Moderna,76204
Latvia,Oxford/AstraZeneca,174998
Latvia,Pfizer/BioNTech,107705
Latvia,Johnson&Johnson,376
Latvia,Moderna,76848
Latvia,Oxford/AstraZeneca,175547
Latvia,Pfizer/BioNTech,109487
Latvia,Johnson&Johnson,379
Latvia,Moderna,76941
Latvia,Oxford/AstraZeneca,175555
Latvia,Pfizer/BioNTech,118219
Latvia,Johnson&Johnson,514
Latvia,Moderna,80833
Latvia,Oxford/AstraZeneca,178352
Latvia,Pfizer/BioNTech,128160
Latvia,Johnson&Johnson,682
Latvia,Moderna,85174
Latvia,Oxford/AstraZeneca,182252
Latvia,Pfizer/BioNTech,141476
Latvia,Johnson&Johnson,847
Latvia,Moderna,89228
Latvia,Oxford/AstraZeneca,185290
Latvia,Pfizer/BioNTech,154268
Latvia,Johnson&Johnson,895
Latvia,Moderna,90896
Latvia,Oxford/AstraZeneca,186417
Latvia,Pfizer/BioNTech,163743
Latvia,Johnson&Johnson,978
Latvia,Moderna,90901
Latvia,Oxford/AstraZeneca,186447
Latvia,Pfizer/BioNTech,165257
Latvia,Johnson&Johnson,1103
Latvia,Moderna,92870
Latvia,Oxford/AstraZeneca,188851
Latvia,Pfizer/BioNTech,170304
Latvia,Johnson&Johnson,1383
Latvia,Moderna,95436
Latvia,Oxford/AstraZeneca,191158
Latvia,Pfizer/BioNTech,183184
Latvia,Johnson&Johnson,1840
Latvia,Moderna,99107
Latvia,Oxford/AstraZeneca,193694
Latvia,Pfizer/BioNTech,199239
Latvia,Johnson&Johnson,2335
Latvia,Moderna,102702
Latvia,Oxford/AstraZeneca,196561
Latvia,Pfizer/BioNTech,214566
Latvia,Johnson&Johnson,3030
Latvia,Moderna,105706
Latvia,Oxford/AstraZeneca,200019
Latvia,Pfizer/BioNTech,229125
Latvia,Johnson&Johnson,3123
Latvia,Moderna,106238
Latvia,Oxford/AstraZeneca,200617
Latvia,Pfizer/BioNTech,241234
Latvia,Johnson&Johnson,3143
Latvia,Moderna,106480
Latvia,Oxford/AstraZeneca,200662
Latvia,Pfizer/BioNTech,245971
Latvia,Johnson&Johnson,3612
Latvia,Moderna,109117
Latvia,Oxford/AstraZeneca,203019
Latvia,Pfizer/BioNTech,252323
Latvia,Johnson&Johnson,4683
Latvia,Moderna,113685
Latvia,Oxford/AstraZeneca,204773
Latvia,Pfizer/BioNTech,262055
Latvia,Johnson&Johnson,6191
Latvia,Moderna,119089
Latvia,Oxford/AstraZeneca,206910
Latvia,Pfizer/BioNTech,275765
Latvia,Johnson&Johnson,7669
Latvia,Moderna,125073
Latvia,Oxford/AstraZeneca,209018
Latvia,Pfizer/BioNTech,287324
Latvia,Johnson&Johnson,9790
Latvia,Moderna,129165
Latvia,Oxford/AstraZeneca,210443
Latvia,Pfizer/BioNTech,300202
Latvia,Johnson&Johnson,11015
Latvia,Moderna,130799
Latvia,Oxford/AstraZeneca,210868
Latvia,Pfizer/BioNTech,309420
Latvia,Johnson&Johnson,11227
Latvia,Moderna,131649
Latvia,Oxford/AstraZeneca,210878
Latvia,Pfizer/BioNTech,311181
Latvia,Johnson&Johnson,12407
Latvia,Moderna,134393
Latvia,Oxford/AstraZeneca,212801
Latvia,Pfizer/BioNTech,317087
Latvia,Johnson&Johnson,13528
Latvia,Moderna,138485
Latvia,Oxford/AstraZeneca,215145
Latvia,Pfizer/BioNTech,330082
Latvia,Johnson&Johnson,14551
Latvia,Moderna,142502
Latvia,Oxford/AstraZeneca,218266
Latvia,Pfizer/BioNTech,343850
Latvia,Johnson&Johnson,15478
Latvia,Moderna,146190
Latvia,Oxford/AstraZeneca,221059
Latvia,Pfizer/BioNTech,358382
Latvia,Johnson&Johnson,16916
Latvia,Moderna,150322
Latvia,Oxford/AstraZeneca,223015
Latvia,Pfizer/BioNTech,375576
Latvia,Johnson&Johnson,18567
Latvia,Moderna,150980
Latvia,Oxford/AstraZeneca,223273
Latvia,Pfizer/BioNTech,384886
Latvia,Johnson&Johnson,19304
Latvia,Moderna,151175
Latvia,Oxford/AstraZeneca,223310
Latvia,Pfizer/BioNTech,388063
Latvia,Johnson&Johnson,20363
Latvia,Moderna,152871
Latvia,Oxford/AstraZeneca,224938
Latvia,Pfizer/BioNTech,396717
Latvia,Johnson&Johnson,21314
Latvia,Moderna,154631
Latvia,Oxford/AstraZeneca,227614
Latvia,Pfizer/BioNTech,412524
Latvia,Johnson&Johnson,22771
Latvia,Moderna,157543
Latvia,Oxford/AstraZeneca,230312
Latvia,Pfizer/BioNTech,427454
Latvia,Johnson&Johnson,23851
Latvia,Moderna,161463
Latvia,Oxford/AstraZeneca,232651
Latvia,Pfizer/BioNTech,441936
Latvia,Johnson&Johnson,25666
Latvia,Moderna,166276
Latvia,Oxford/AstraZeneca,233966
Latvia,Pfizer/BioNTech,454055
Latvia,Johnson&Johnson,26705
Latvia,Moderna,167947
Latvia,Oxford/AstraZeneca,234242
Latvia,Pfizer/BioNTech,462333
Latvia,Johnson&Johnson,27787
Latvia,Moderna,168053
Latvia,Oxford/AstraZeneca,234257
Latvia,Pfizer/BioNTech,466347
Latvia,Johnson&Johnson,28835
Latvia,Moderna,170299
Latvia,Oxford/AstraZeneca,236205
Latvia,Pfizer/BioNTech,475978
Latvia,Johnson&Johnson,30247
Latvia,Moderna,172528
Latvia,Oxford/AstraZeneca,239497
Latvia,Pfizer/BioNTech,487160
Latvia,Johnson&Johnson,31466
Latvia,Moderna,174785
Latvia,Oxford/AstraZeneca,243068
Latvia,Pfizer/BioNTech,498489
Latvia,Johnson&Johnson,33064
Latvia,Moderna,177151
Latvia,Oxford/AstraZeneca,246206
Latvia,Pfizer/BioNTech,508412
Latvia,Johnson&Johnson,34636
Latvia,Moderna,179809
Latvia,Oxford/AstraZeneca,248732
Latvia,Pfizer/BioNTech,519068
Latvia,Johnson&Johnson,35935
Latvia,Moderna,180858
Latvia,Oxford/AstraZeneca,248966
Latvia,Pfizer/BioNTech,524763
Latvia,Johnson&Johnson,36398
Latvia,Moderna,181185
Latvia,Oxford/AstraZeneca,248979
Latvia,Pfizer/BioNTech,525599
Latvia,Johnson&Johnson,37293
Latvia,Moderna,183121
Latvia,Oxford/AstraZeneca,250242
Latvia,Pfizer/BioNTech,531888
Latvia,Johnson&Johnson,38960
Latvia,Moderna,184839
Latvia,Oxford/AstraZeneca,253028
Latvia,Pfizer/BioNTech,538703
Latvia,Johnson&Johnson,40559
Latvia,Moderna,186949
Latvia,Oxford/AstraZeneca,255797
Latvia,Pfizer/BioNTech,548162
Latvia,Johnson&Johnson,42213
Latvia,Moderna,188530
Latvia,Oxford/AstraZeneca,258052
Latvia,Pfizer/BioNTech,555966
Latvia,Johnson&Johnson,44224
Latvia,Moderna,190464
Latvia,Oxford/AstraZeneca,260131
Latvia,Pfizer/BioNTech,567273
Latvia,Johnson&Johnson,45716
Latvia,Moderna,192079
Latvia,Oxford/AstraZeneca,260660
Latvia,Pfizer/BioNTech,572128
Latvia,Johnson&Johnson,46377
Latvia,Moderna,192783
Latvia,Oxford/AstraZeneca,260728
Latvia,Pfizer/BioNTech,574186
Latvia,Johnson&Johnson,47900
Latvia,Moderna,194520
Latvia,Oxford/AstraZeneca,263771
Latvia,Pfizer/BioNTech,580425
Latvia,Johnson&Johnson,49193
Latvia,Moderna,195933
Latvia,Oxford/AstraZeneca,264843
Latvia,Pfizer/BioNTech,587017
Latvia,Johnson&Johnson,49321
Latvia,Moderna,195970
Latvia,Oxford/AstraZeneca,264850
Latvia,Pfizer/BioNTech,587204
Latvia,Johnson&Johnson,49331
Latvia,Moderna,195990
Latvia,Oxford/AstraZeneca,264856
Latvia,Pfizer/BioNTech,587270
Latvia,Johnson&Johnson,49658
Latvia,Moderna,197273
Latvia,Oxford/AstraZeneca,264998
Latvia,Pfizer/BioNTech,588536
Latvia,Johnson&Johnson,50268
Latvia,Moderna,197505
Latvia,Oxford/AstraZeneca,266140
Latvia,Pfizer/BioNTech,589777
Latvia,Johnson&Johnson,50739
Latvia,Moderna,197666
Latvia,Oxford/AstraZeneca,267376
Latvia,Pfizer/BioNTech,590199
Latvia,Johnson&Johnson,52046
Latvia,Moderna,200029
Latvia,Oxford/AstraZeneca,270442
Latvia,Pfizer/BioNTech,598994
Latvia,Johnson&Johnson,53899
Latvia,Moderna,202265
Latvia,Oxford/AstraZeneca,272543
Latvia,Pfizer/BioNTech,607237
Latvia,Johnson&Johnson,55829
Latvia,Moderna,204043
Latvia,Oxford/AstraZeneca,275353
Latvia,Pfizer/BioNTech,615446
Latvia,Johnson&Johnson,57492
Latvia,Moderna,205835
Latvia,Oxford/AstraZeneca,276587
Latvia,Pfizer/BioNTech,622534
Latvia,Johnson&Johnson,59463
Latvia,Moderna,208372
Latvia,Oxford/AstraZeneca,277875
Latvia,Pfizer/BioNTech,629166
Latvia,Johnson&Johnson,61050
Latvia,Moderna,209202
Latvia,Oxford/AstraZeneca,280334
Latvia,Pfizer/BioNTech,632916
Latvia,Johnson&Johnson,61882
Latvia,Moderna,209331
Latvia,Oxford/AstraZeneca,280366
Latvia,Pfizer/BioNTech,634155
Latvia,Johnson&Johnson,63423
Latvia,Moderna,210412
Latvia,Oxford/AstraZeneca,280839
Latvia,Pfizer/BioNTech,638780
Latvia,Johnson&Johnson,65475
Latvia,Moderna,210990
Latvia,Oxford/AstraZeneca,281406
Latvia,Pfizer/BioNTech,644472
Latvia,Johnson&Johnson,68026
Latvia,Moderna,211630
Latvia,Oxford/AstraZeneca,282030
Latvia,Pfizer/BioNTech,650842
Latvia,Johnson&Johnson,70018
Latvia,Moderna,212105
Latvia,Oxford/AstraZeneca,282489
Latvia,Pfizer/BioNTech,656599
Latvia,Johnson&Johnson,72550
Latvia,Moderna,212634
Latvia,Oxford/AstraZeneca,284713
Latvia,Pfizer/BioNTech,662640
Latvia,Johnson&Johnson,74184
Latvia,Moderna,213426
Latvia,Oxford/AstraZeneca,287026
Latvia,Pfizer/BioNTech,665931
Latvia,Johnson&Johnson,75103
Latvia,Moderna,213595
Latvia,Oxford/AstraZeneca,287207
Latvia,Pfizer/BioNTech,666719
Latvia,Johnson&Johnson,76766
Latvia,Moderna,214428
Latvia,Oxford/AstraZeneca,287495
Latvia,Pfizer/BioNTech,670421
Latvia,Johnson&Johnson,78901
Latvia,Moderna,214846
Latvia,Oxford/AstraZeneca,287729
Latvia,Pfizer/BioNTech,674282
Latvia,Johnson&Johnson,81226
Latvia,Moderna,215501
Latvia,Oxford/AstraZeneca,288007
Latvia,Pfizer/BioNTech,676916
Latvia,Johnson&Johnson,82912
Latvia,Moderna,216102
Latvia,Oxford/AstraZeneca,288237
Latvia,Pfizer/BioNTech,679197
Latvia,Johnson&Johnson,84894
Latvia,Moderna,216659
Latvia,Oxford/AstraZeneca,288343
Latvia,Pfizer/BioNTech,682246
Latvia,Johnson&Johnson,86474
Latvia,Moderna,216849
Latvia,Oxford/AstraZeneca,288398
Latvia,Pfizer/BioNTech,684072
Latvia,Johnson&Johnson,86892
Latvia,Moderna,216995
Latvia,Oxford/AstraZeneca,288406
Latvia,Pfizer/BioNTech,684767
Latvia,Johnson&Johnson,88084
Latvia,Moderna,217284
Latvia,Oxford/AstraZeneca,288430
Latvia,Pfizer/BioNTech,688356
Latvia,Johnson&Johnson,89342
Latvia,Moderna,217756
Latvia,Oxford/AstraZeneca,288633
Latvia,Pfizer/BioNTech,693216
Latvia,Johnson&Johnson,90771
Latvia,Moderna,218092
Latvia,Oxford/AstraZeneca,288784
Latvia,Pfizer/BioNTech,698671
Latvia,Johnson&Johnson,92006
Latvia,Moderna,218336
Latvia,Oxford/AstraZeneca,288965
Latvia,Pfizer/BioNTech,703565
Latvia,Johnson&Johnson,92983
Latvia,Moderna,218594
Latvia,Oxford/AstraZeneca,289021
Latvia,Pfizer/BioNTech,708556
Latvia,Johnson&Johnson,94044
Latvia,Moderna,218917
Latvia,Oxford/AstraZeneca,289028
